ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G  4.6G   31G  13% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  528K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sda1       140M   32M  101M  24% /boot
/dev/sde        932G  563G  369G  61% /var/lib/ceph/osd/ceph-1
/dev/sdn        932G  439G  493G  48% /var/lib/ceph/osd/ceph-10
/dev/sdo        932G  594G  338G  64% /var/lib/ceph/osd/ceph-11
/dev/sdp        932G  346G  586G  38% /var/lib/ceph/osd/ceph-12
/dev/sdf        932G  579G  353G  63% /var/lib/ceph/osd/ceph-2
/dev/sdg        932G  510G  422G  55% /var/lib/ceph/osd/ceph-3
/dev/sdh        932G  517G  415G  56% /var/lib/ceph/osd/ceph-4
/dev/sdi        932G  451G  481G  49% /var/lib/ceph/osd/ceph-5
/dev/sdj        932G  588G  344G  64% /var/lib/ceph/osd/ceph-6
/dev/sdk        932G  475G  457G  51% /var/lib/ceph/osd/ceph-7
/dev/sdl        932G  508G  425G  55% /var/lib/ceph/osd/ceph-8
/dev/sdm        932G  518G  414G  56% /var/lib/ceph/osd/ceph-9

ceph-osd2
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  4.7G   37G  12% /
udev             16G  4.0K   16G   1% /dev
tmpfs           6.3G  432K  6.3G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none             16G     0   16G   0% /run/shm
/dev/sde        932G  471G  461G  51% /var/lib/ceph/osd/ceph-13
/dev/sdf        932G  436G  496G  47% /var/lib/ceph/osd/ceph-14
/dev/sdg        932G  510G  422G  55% /var/lib/ceph/osd/ceph-15
/dev/sdh        932G  433G  499G  47% /var/lib/ceph/osd/ceph-16
/dev/sdi        932G  501G  431G  54% /var/lib/ceph/osd/ceph-17
/dev/sdj        932G  575G  357G  62% /var/lib/ceph/osd/ceph-18
/dev/sdk        932G  551G  381G  60% /var/lib/ceph/osd/ceph-19
/dev/sdl        932G  464G  468G  50% /var/lib/ceph/osd/ceph-20
/dev/sdm        932G  397G  535G  43% /var/lib/ceph/osd/ceph-21
/dev/sdn        932G  668G  264G  72% /var/lib/ceph/osd/ceph-22
/dev/sdo        932G  569G  363G  62% /var/lib/ceph/osd/ceph-23
/dev/sdp        932G  605G  327G  65% /var/lib/ceph/osd/ceph-24

ceph-osd3
Filesystem      Size  Used Avail Use% Mounted on
