ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G   11G   25G  30% /
/dev/sdf        932G  498G  434G  54% /var/lib/ceph/osd/ceph-49
/dev/sdg        932G  563G  369G  61% /var/lib/ceph/osd/ceph-50
/dev/sdh        932G  549G  383G  59% /var/lib/ceph/osd/ceph-51
/dev/sdi        932G  540G  392G  58% /var/lib/ceph/osd/ceph-52
/dev/sdj        932G  497G  435G  54% /var/lib/ceph/osd/ceph-53
/dev/sdk        932G  525G  407G  57% /var/lib/ceph/osd/ceph-54
/dev/sdl        932G  515G  417G  56% /var/lib/ceph/osd/ceph-55
/dev/sdm        932G  493G  439G  53% /var/lib/ceph/osd/ceph-56
/dev/sdn        932G  476G  456G  52% /var/lib/ceph/osd/ceph-57
/dev/sdo        932G  492G  440G  53% /var/lib/ceph/osd/ceph-58
/dev/sdp        932G  539G  393G  58% /var/lib/ceph/osd/ceph-59
/dev/sdd6        50G   76M   50G   1% /var/lib/ceph/osd/ceph-64

