ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G  3.4G   32G  10% /
/dev/sda1        44G  3.6G   39G   9% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  432K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  663G  269G  72% /var/lib/ceph/osd/ceph-25
/dev/sdf        932G  638G  294G  69% /var/lib/ceph/osd/ceph-26
/dev/sdg        932G  692G  240G  75% /var/lib/ceph/osd/ceph-27
/dev/sdh        932G  456G  476G  49% /var/lib/ceph/osd/ceph-28
/dev/sdi        932G  686G  246G  74% /var/lib/ceph/osd/ceph-29
/dev/sdj        932G  711G  221G  77% /var/lib/ceph/osd/ceph-30
/dev/sdk        932G  601G  331G  65% /var/lib/ceph/osd/ceph-31
/dev/sdl        932G  559G  373G  60% /var/lib/ceph/osd/ceph-32
/dev/sdm        932G  644G  288G  70% /var/lib/ceph/osd/ceph-33
/dev/sdn        932G  517G  415G  56% /var/lib/ceph/osd/ceph-34
/dev/sdo        932G  584G  348G  63% /var/lib/ceph/osd/ceph-35
/dev/sdp        932G  590G  342G  64% /var/lib/ceph/osd/ceph-36

ceph-osd4
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  3.3G   39G   8% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  428K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  602G  330G  65% /var/lib/ceph/osd/ceph-37
/dev/sdf        932G  747G  185G  81% /var/lib/ceph/osd/ceph-38
/dev/sdg        932G  650G  282G  70% /var/lib/ceph/osd/ceph-39
/dev/sdh        932G  650G  282G  70% /var/lib/ceph/osd/ceph-40
/dev/sdi        932G  729G  203G  79% /var/lib/ceph/osd/ceph-41
/dev/sdj        932G  547G  385G  59% /var/lib/ceph/osd/ceph-42
/dev/sdk        932G  608G  324G  66% /var/lib/ceph/osd/ceph-43
/dev/sdl        932G  608G  324G  66% /var/lib/ceph/osd/ceph-44
/dev/sdm        932G  620G  312G  67% /var/lib/ceph/osd/ceph-45
/dev/sdn        932G  595G  337G  64% /var/lib/ceph/osd/ceph-46
/dev/sdo        932G  662G  270G  72% /var/lib/ceph/osd/ceph-47
/dev/sdp        932G  559G  373G  60% /var/lib/ceph/osd/ceph-48

ceph-osd5
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  3.5G   39G   9% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  460K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  681G  252G  74% /var/lib/ceph/osd/ceph-49
/dev/sdf        932G  705G  227G  76% /var/lib/ceph/osd/ceph-50
/dev/sdg        932G  656G  276G  71% /var/lib/ceph/osd/ceph-51
/dev/sdh        932G  474G  458G  51% /var/lib/ceph/osd/ceph-52
/dev/sdi        932G  723G  209G  78% /var/lib/ceph/osd/ceph-53
/dev/sdj        932G  681G  251G  74% /var/lib/ceph/osd/ceph-54
/dev/sdk        932G  553G  379G  60% /var/lib/ceph/osd/ceph-55
/dev/sdl        932G  493G  439G  53% /var/lib/ceph/osd/ceph-56
/dev/sdm        932G  589G  343G  64% /var/lib/ceph/osd/ceph-57
/dev/sdn        932G  681G  251G  74% /var/lib/ceph/osd/ceph-58
/dev/sdo        932G  499G  434G  54% /var/lib/ceph/osd/ceph-59
/dev/sdp        932G  699G  233G  75% /var/lib/ceph/osd/ceph-60

