ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G  8.6G   27G  25% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  464K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sda1       140M   32M  101M  24% /boot
/dev/sde        932G  558G  374G  60% /var/lib/ceph/osd/ceph-1
/dev/sdn        932G  485G  447G  53% /var/lib/ceph/osd/ceph-10
/dev/sdo        932G  514G  418G  56% /var/lib/ceph/osd/ceph-11
/dev/sdp        932G  502G  430G  54% /var/lib/ceph/osd/ceph-12
/dev/sdf        932G  522G  410G  57% /var/lib/ceph/osd/ceph-2
/dev/sdg        932G  501G  431G  54% /var/lib/ceph/osd/ceph-3
/dev/sdh        932G  471G  461G  51% /var/lib/ceph/osd/ceph-4
/dev/sdi        932G  468G  465G  51% /var/lib/ceph/osd/ceph-5
/dev/sdj        932G  541G  391G  59% /var/lib/ceph/osd/ceph-6
/dev/sdk        932G  523G  409G  57% /var/lib/ceph/osd/ceph-7
/dev/sdl        932G  521G  411G  56% /var/lib/ceph/osd/ceph-8
/dev/sdm        932G  536G  396G  58% /var/lib/ceph/osd/ceph-9

ceph-osd2
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  4.5G   38G  11% /
udev             16G  4.0K   16G   1% /dev
tmpfs           6.3G  428K  6.3G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none             16G     0   16G   0% /run/shm
/dev/sde        932G  500G  432G  54% /var/lib/ceph/osd/ceph-13
/dev/sdf        932G  511G  421G  55% /var/lib/ceph/osd/ceph-14
/dev/sdg        932G  521G  411G  56% /var/lib/ceph/osd/ceph-15
/dev/sdh        932G  511G  421G  55% /var/lib/ceph/osd/ceph-16
/dev/sdi        932G  522G  410G  57% /var/lib/ceph/osd/ceph-17
/dev/sdj        932G  495G  437G  54% /var/lib/ceph/osd/ceph-18
