ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G  8.5G   27G  24% /
/dev/sdl        932G  546G  386G  59% /var/lib/ceph/osd/ceph-32
/dev/sdm        932G  503G  429G  54% /var/lib/ceph/osd/ceph-33
/dev/sdn        932G  502G  430G  54% /var/lib/ceph/osd/ceph-34
/dev/sdo        932G  499G  433G  54% /var/lib/ceph/osd/ceph-35
/dev/sdp        932G  496G  436G  54% /var/lib/ceph/osd/ceph-36

ceph-osd4
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  3.7G   38G   9% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  428K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  508G  424G  55% /var/lib/ceph/osd/ceph-37
/dev/sdf        932G  525G  408G  57% /var/lib/ceph/osd/ceph-38
/dev/sdg        932G  525G  407G  57% /var/lib/ceph/osd/ceph-39
/dev/sdh        932G  500G  432G  54% /var/lib/ceph/osd/ceph-40
/dev/sdi        932G  551G  381G  60% /var/lib/ceph/osd/ceph-41
/dev/sdj        932G  515G  417G  56% /var/lib/ceph/osd/ceph-42
/dev/sdk        932G  549G  383G  59% /var/lib/ceph/osd/ceph-43
/dev/sdl        932G  473G  459G  51% /var/lib/ceph/osd/ceph-44
/dev/sdm        932G  502G  430G  54% /var/lib/ceph/osd/ceph-45
/dev/sdn        932G  501G  431G  54% /var/lib/ceph/osd/ceph-46
/dev/sdo        932G  494G  438G  54% /var/lib/ceph/osd/ceph-47
/dev/sdp        932G  510G  422G  55% /var/lib/ceph/osd/ceph-48

ceph-osd5
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  3.8G   38G   9% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  452K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  475G  457G  51% /var/lib/ceph/osd/ceph-49
/dev/sdf        932G  500G  432G  54% /var/lib/ceph/osd/ceph-50
/dev/sdg        932G  474G  458G  51% /var/lib/ceph/osd/ceph-51
/dev/sdh        932G  475G  457G  51% /var/lib/ceph/osd/ceph-52
/dev/sdi        932G  546G  386G  59% /var/lib/ceph/osd/ceph-53
/dev/sdj        932G  514G  418G  56% /var/lib/ceph/osd/ceph-54
/dev/sdk        932G  533G  399G  58% /var/lib/ceph/osd/ceph-55
/dev/sdl        932G  448G  484G  49% /var/lib/ceph/osd/ceph-56
/dev/sdm        932G  487G  445G  53% /var/lib/ceph/osd/ceph-57
/dev/sdn        932G  490G  442G  53% /var/lib/ceph/osd/ceph-58
/dev/sdo        932G  519G  413G  56% /var/lib/ceph/osd/ceph-59
/dev/sdp        932G  557G  375G  60% /var/lib/ceph/osd/ceph-60

